FirstName,LastName,StartDate,ExitDate,Title,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost
Claire,Gordon,4-Sep-18,16-Dec-22,BI Director,Jennifer Hernandez,SVG,Terminated for Cause,Contract,Zone C,Full-Time,Voluntary,Product key its something. Yourself pay anyone.,IT/IS,Isp,13-11-1981,MA,Specialist,Female,20654,Other,Widowed,Fully Meets,3,1695,25-05-2023,3,3,3,3-Jan-23,Leadership Development,Internal,Passed,East James,Brittany Fuller,2,913.34
Joshua,Hall,7-Nov-21,,BI Developer,Margaret Martinez,NEL,Active,Full-Time,Zone C,Temporary,Unk,,IT/IS,General - Eng,16-09-1962,MA,Coordinator,Male,74846,Hispanic,Married,Fully Meets,3,1696,27-05-2023,4,4,1,29-May-23,Project Management,Internal,Completed,Yatesburgh,Dr. Eric Reynolds,1,754.78
Mattie,Peters,24-May-23,21-Jul-23,BI Developer,Melanie Campbell,MSC,Active,Full-Time,Zone B,Part-Time,Retirement,Soon color sit call certainly.,IT/IS,General - Con,15-06-1987,MA,Foreman,Male,3758,Asian,Widowed,Fully Meets,3,1697,15-10-2022,1,5,2,14-Oct-22,Leadership Development,External,Passed,South Mistychester,Sierra Bishop,4,503.3
Makai,Nolan,15-Feb-21,5-Jun-21,Area Sales Manager,Deborah Beltran,EW,Active,Full-Time,Zone A,Part-Time,Resignation,This cost difficult. Time meet should.,IT/IS,Billable Consultants,14-11-1994,MA,Engineer,Male,5156,White,Married,Fully Meets,3,1698,21-03-2023,3,5,4,23-Nov-22,Technical Skills,External,Passed,Dustinville,Shawn Williams,5,218.31
Trevon,Briggs,3-Nov-21,19-Aug-22,Senior BI Developer,Justin Jordan,PL,Active,Contract,Zone C,Part-Time,Voluntary,Picture recently military describe.,Admin Offices,Executive,17-06-1993,MA,Manager,Male,64233,Hispanic,Married,Fully Meets,3,1699,25-04-2023,2,4,3,24-Jul-23,Customer Service,External,Incomplete,Port Jorge,Derek Wilson,3,730.86
Gretchen,Weeks,20-Sep-18,,Senior BI Developer,Katherine Mccarthy,BPC,Active,Contract,Zone C,Temporary,Unk,,IT/IS,Engineers,8/4/1958,MA,Engineer,Male,61270,Asian,Widowed,Fully Meets,3,1700,4/5/2023,5,2,4,19-Sep-22,Customer Service,External,Completed,Andradeport,Dr. Taylor Davis,4,203.34
Corey,Hurst,23-Jul-19,7-Jan-23,Senior BI Developer,Jacob Brown,CCDR,Active,Contract,Zone A,Full-Time,Involuntary,Former huge figure enjoy all detail.,IT/IS,Project Management - Con,6/11/1954,MA,Flagger,Male,36731,Other,Single,Fully Meets,3,1701,29-04-2023,5,3,2,18-Jun-23,Technical Skills,Internal,Passed,South Taylor,Marcus Harris,1,460.53
Alison,Pugh,12-May-22,,Sales Manager,Bradley Sandoval,SVG,Active,Contract,Zone A,Part-Time,Unk,,IT/IS,Project Management - Con,8/9/1989,MA,Contracts,Female,49479,Other,Single,Fully Meets,3,1702,20-01-2023,4,1,2,19-Mar-23,Communication Skills,Internal,Completed,Meganport,Madison Rogers,5,733.92
Kadence,Sandoval,3-Oct-18,,Sales Manager,Mary Waters,EW,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,Aerial,23-02-1978,MA,Lineman,Female,26140,Other,Single,Fully Meets,3,1703,16-02-2023,1,1,4,6-Oct-22,Customer Service,Internal,Completed,Audreyfort,Lance Steele,2,987.43
Mckenzie,Kim,26-Nov-20,,CIO,Rachel Thomas,CCDR,Active,Part-Time,Zone C,Part-Time,Unk,,IT/IS,Project Management - Con,21-06-1994,MA,Project Manager,Female,59091,Hispanic,Widowed,Fully Meets,3,1704,6/4/2023,4,4,3,13-May-23,Customer Service,External,Completed,Lake Julia,Sarah Ryan,1,691.32
Randall,Miller,4-Oct-18,,BI Director,David Kirk,EW,Active,Part-Time,Zone B,Full-Time,Unk,,IT/IS,Project Management - Con,16-05-1958,MA,Intern,Female,50425,Hispanic,Single,Fully Meets,3,1705,2/4/2023,4,4,1,22-Oct-22,Communication Skills,External,Passed,Lake Traceyborough,Evan Davis,1,663.08
Lailah,Hughes,2-Dec-20,25-Feb-23,BI Developer,Christopher Fisher,NEL,Active,Contract,Zone A,Full-Time,Involuntary,Happen ability as term fish.,IT/IS,Aerial,3/4/1990,MA,Supervisor,Female,81407,Hispanic,Married,Fully Meets,3,1706,19-06-2023,3,2,5,21-Sep-22,Customer Service,External,Incomplete,Kathleenhaven,Daniel Rivera,1,970.01
Quentin,Calderon,24-Sep-21,20-Jul-23,BI Developer,Charles Mcdonald,PL,Active,Part-Time,Zone C,Full-Time,Voluntary,Fly see experience age Republican.,IT/IS,Wireline Construction,20-03-1994,MA,Clerk,Male,93935,Asian,Married,Fully Meets,3,1707,21-10-2022,5,4,3,26-May-23,Customer Service,Internal,Passed,Shepherdchester,Jeffrey Williams,3,496.31
Molly,Fischer,10-Sep-20,22-May-21,BI Developer,Bonnie Smith,PYZ,Active,Full-Time,Zone A,Temporary,Involuntary,With turn maybe herself trouble.,IT/IS,Splicing,12/5/1990,MA,Associate,Male,65055,Asian,Widowed,Fully Meets,3,1708,29-01-2023,4,5,4,20-Jun-23,Customer Service,Internal,Incomplete,South Carrie,Matthew Cox,5,640.01
Anaya,Stanton,25-May-22,17-Nov-22,Area Sales Manager,Whitney Roberts,SVG,Active,Full-Time,Zone C,Temporary,Involuntary,Plant opportunity thank style.,IT/IS,General - Sga,22-03-1962,OR,Manager,Male,55354,Black,Married,Fully Meets,3,1709,10/5/2023,5,4,2,3-Jun-23,Technical Skills,External,Failed,South Lance,Stephanie Haney,4,858.8
Jaden,Houston,15-Feb-19,9-Dec-19,Senior BI Developer,Paige Eaton DDS,PL,Active,Part-Time,Zone A,Part-Time,Resignation,Threat day deep final personal alone picture.,Admin Offices,Field Operations,24-05-1971,MA,Technician,Male,46239,Black,Divorced,Fully Meets,3,1710,3/7/2023,1,2,3,11-Dec-22,Communication Skills,External,Passed,Markville,Sharon Sanchez,2,300.52
Lance,Bailey,28-Sep-18,1-Feb-23,Senior BI Developer,Johnny Stevens,BPC,Active,Full-Time,Zone A,Temporary,Voluntary,Wrong how fund front foreign.,IT/IS,General - Con,21-04-1985,MA,Laborer,Male,43594,Other,Widowed,Fully Meets,3,1711,5/5/2023,5,1,4,30-Sep-22,Technical Skills,External,Failed,Lindaland,Melissa Martinez,3,102.19
Quintin,Hicks,12-Dec-18,,Senior BI Developer,Joanna Lewis,CCDR,Active,Full-Time,Zone A,Temporary,Unk,,IT/IS,Engineers,29-02-1972,MA,Engineer,Female,72035,Black,Single,Fully Meets,3,1712,12/5/2023,3,2,3,6-Jun-23,Communication Skills,Internal,Completed,Michaelberg,Adam Walters,2,581.16
Mauricio,Meyers,1-Dec-21,,Sales Manager,Isabella Cox,SVG,Active,Contract,Zone B,Full-Time,Unk,,IT/IS,General - Con,29-08-1990,MA,Flagger,Female,1218,Asian,Married,Fully Meets,3,1713,11/10/2022,4,4,5,11-Mar-23,Leadership Development,Internal,Incomplete,Clarkeside,Samantha Mcguire,3,752.91
Tess,Reilly,12-Jan-22,,Sales Manager,Nicholas Gomez,EW,Active,Full-Time,Zone B,Temporary,Unk,,Sales,Field Operations,20-04-2000,MA,Laborer,Female,5062,White,Married,Fully Meets,3,1714,27-02-2023,1,2,3,24-Jul-23,Project Management,External,Passed,Lake Michael,Gary Smith,3,374.58
Reece,Callahan,27-Oct-20,28-Sep-22,CIO,Monique Barnes,WBL,Active,Full-Time,Zone B,Part-Time,Involuntary,Learn will marriage interesting note the success.,IT/IS,Aerial,10/1/1966,MA,Foreman,Female,86362,White,Divorced,Fully Meets,3,1715,16-04-2023,2,2,5,17-Feb-23,Leadership Development,Internal,Incomplete,North Danielfort,Hector Hinton,3,788.64
Tyrell,Fuentes,2-Nov-20,21-Jun-22,BI Director,Steven Oliver,NEL,Active,Contract,Zone C,Part-Time,Involuntary,Can conference couple similar anything.,IT/IS,General - Con,19-03-1961,MA,Flagger,Female,21457,Asian,Widowed,Fully Meets,3,1716,15-01-2023,2,1,1,13-Feb-23,Communication Skills,External,Incomplete,Lake Erica,Leslie Hall,2,234.05
Benjamin,Kaufman,24-Apr-21,28-Feb-23,BI Developer,Vicki Delgado,BPC,Active,Part-Time,Zone B,Part-Time,Retirement,Customer front detail bed say suddenly here.,IT/IS,General - Con,26-11-1959,MA,Model Assistant,Male,49370,Asian,Widowed,Fully Meets,3,1717,6/3/2023,4,2,5,5-Nov-22,Customer Service,External,Incomplete,Port Joshua,Anne Holt,1,381.33
Ayla,Mcgrath,29-Jun-20,3-Aug-23,BI Developer,Daryl Swanson,CCDR,Active,Full-Time,Zone B,Temporary,Involuntary,Someone situation else. Big statement else gas.,IT/IS,Field Operations,4/1/2001,MA,Driller,Male,17318,Other,Divorced,Fully Meets,3,1718,19-07-2023,5,4,5,24-Dec-22,Leadership Development,Internal,Passed,Wellsborough,Wendy Short,3,527.62
Katelyn,Stevens,15-Jul-21,,BI Developer,James Johnson,SVG,Active,Contract,Zone B,Temporary,Unk,,IT/IS,Field Operations,10/5/1993,MA,Laborer,Male,93155,Hispanic,Widowed,Fully Meets,3,1719,29-03-2023,2,3,1,12-Sep-22,Leadership Development,External,Passed,Butlerchester,Brian Hawkins,3,442.1
Jaiden,Christian,20-Jun-23,,Senior BI Developer,Juan Jackson,MSC,Active,Part-Time,Zone C,Part-Time,Unk,,IT/IS,Field Operations,8/3/1965,MA,Laborer,Male,32840,Other,Single,Fully Meets,3,1720,10/7/2023,4,3,2,19-Jan-23,Project Management,Internal,Passed,Scotthaven,Tamara Harris,2,396.81
Elliott,Odonnell,22-Sep-19,10-Nov-22,Senior BI Developer,Wendy Daniels,NEL,Active,Full-Time,Zone B,Full-Time,Retirement,Story get campaign affect at rule start.,IT/IS,Finance & Accounting,25-11-1998,MA,Assistant,Male,46552,White,Divorced,Fully Meets,3,1721,30-06-2023,5,4,4,16-Feb-23,Project Management,External,Failed,Kathleenhaven,John Graham,2,730.31
Ronnie,Dillon,22-Feb-22,,Senior BI Developer,John Smith,PL,Active,Full-Time,Zone B,Full-Time,Unk,,IT/IS,Wireless,30-01-1968,MA,Groundman,Female,26893,Hispanic,Divorced,Fully Meets,3,1722,16-03-2023,2,2,4,14-May-23,Technical Skills,External,Incomplete,Stephensburgh,Caleb Strickland,2,128.06
Gideon,Saunders,1-Jul-20,26-Jun-22,Sales Manager,Nicole Taylor,PYZ,Active,Full-Time,Zone B,Full-Time,Retirement,Say operation national race.,Sales,General - Eng,7/4/1969,MA,Coordinator,Female,34649,Black,Widowed,Fully Meets,3,1723,16-09-2022,5,1,5,25-Sep-22,Technical Skills,External,Passed,Sophiaborough,Andrea Lopez,5,942.63
Valerie,Davis,13-May-21,11-Dec-21,CIO,Amanda Shaw MD,TNS,Active,Part-Time,Zone C,Part-Time,Retirement,Their because nice party.,IT/IS,Yard (Material Handling),20-10-1957,MA,Coordinator,Female,46050,Other,Divorced,Fully Meets,3,1724,22-09-2022,4,2,2,11-Apr-23,Customer Service,Internal,Failed,Fullerstad,Miguel Villarreal,5,733.63
Jamarcus,Thomas,30-May-21,,BI Developer,Nancy Cruz,PL,Active,Contract,Zone A,Part-Time,Unk,,IT/IS,Field Operations,29-09-1947,MA,Technician,Male,55738,Black,Divorced,Fully Meets,3,1725,9/4/2023,2,4,5,16-Jan-23,Customer Service,External,Completed,Cynthiaview,James Mccormick,1,743.28
Alden,Powers,4-Jul-19,,BI Developer,Elizabeth Walker,NEL,Active,Contract,Zone B,Full-Time,Unk,,IT/IS,Wireline Construction,21-01-1981,MA,Clerk,Male,71994,Asian,Single,Fully Meets,3,1726,14-06-2023,3,5,3,19-Oct-22,Technical Skills,Internal,Completed,Higginsport,Joshua Brewer,4,435.18
Haylie,Arnold,31-May-19,31-May-22,BI Developer,Leslie Tran,MSC,Active,Full-Time,Zone B,Full-Time,Involuntary,Candidate fact event level several onto store.,IT/IS,General - Con,16-02-1996,MA,Foreman,Male,50024,Hispanic,Widowed,Fully Meets,3,1727,22-12-2022,4,2,4,16-Feb-23,Technical Skills,Internal,Failed,Weaverburgh,Donna Guzman,5,252.22
James,Cockel,13-Mar-20,,Production Technician I,Yesenia Woodard,WBL,Active,Full-Time,Zone C,Temporary,Unk,,Production       ,General - Con,11/1/1972,MA,Foreman,Male,2452,White,Divorced,Fully Meets,3,1728,1/8/2023,1,4,2,31-Dec-22,Customer Service,External,Completed,Lake Dustin,Joel Thomas,2,103.07
Donna,Brill,6-Jan-20,24-Dec-20,Production Technician I,Michelle Henson,EW,Voluntarily Terminated,Contract,Zone A,Part-Time,Voluntary,Question kitchen gun find four wall heavy.,Production       ,General - Con,30-12-1946,MA,Foreman,Female,1701,Other,Divorced,Fully Meets,3,1729,15-02-2023,1,1,2,22-Mar-23,Technical Skills,Internal,Incomplete,Mollymouth,Jennifer Diaz,2,386.87
Kristen,Squatrito,30-Apr-23,,Production Technician I,Natasha Sullivan,EW,Active,Full-Time,Zone B,Part-Time,Unk,,Production       ,General - Eng,10/6/1976,MA,Technician,Female,2359,White,Divorced,Fully Meets,3,1730,3/7/2023,2,4,4,20-Mar-23,Customer Service,External,Incomplete,East Julie,Joseph Russo,3,718.21
Erasumus,Monkfish,11-Jul-21,8-Feb-22,Production Technician II,Mark Smith,WBL,Active,Contract,Zone B,Temporary,Retirement,Artist organization great heart.,Production       ,Engineers,22-03-1947,MA,Engineer,Male,1450,Black,Divorced,Fully Meets,3,1731,23-06-2023,1,4,1,27-Feb-23,Customer Service,Internal,Failed,South Jennifer,Travis Cook,1,578.81
May,Roberson,2-Jul-21,13-Dec-21,Production Technician II,Samantha Hancock,WBL,Voluntarily Terminated,Contract,Zone B,Temporary,Voluntary,North position film eight. Movement dark turn.,Production       ,Fielders,13-04-1961,MA,Engineer,Female,1902,Hispanic,Widowed,Fully Meets,3,1732,24-10-2022,1,5,4,6-Jul-23,Project Management,Internal,Completed,East Louis,Derrick Wallace,1,562.06
Shana,Maurice,23-Oct-19,3-Dec-20,Production Technician I,Joshua Ward,EW,Active,Full-Time,Zone A,Temporary,Resignation,Head where have ground scene.,Production       ,Field Operations,15-02-1950,MA,Laborer,Female,2330,Black,Married,Fully Meets,3,1733,26-10-2022,4,5,3,8-Jan-23,Leadership Development,External,Incomplete,Lake Danielleport,Tammy King,5,845.86
Raul,Garcia,19-Jan-19,,Production Technician I,Anthony Martinez,NEL,Active,Contract,Zone C,Full-Time,Unk,,Production       ,Field Operations,22-06-1942,MA,Driver,Male,1905,White,Widowed,Fully Meets,3,1734,4/4/2023,4,1,4,16-Jan-23,Project Management,External,Completed,Samanthatown,Jodi Davis,2,391.39
Rachael,Baczenski,8-Jan-21,14-Jan-23,Production Technician I,Cody Scott,NEL,Voluntarily Terminated,Full-Time,Zone A,Full-Time,Resignation,Along senior personal nature help crime.,Production       ,Shop (Fleet),8/4/1942,MA,Mechanic,Female,1902,White,Divorced,Fully Meets,3,1735,10/5/2023,4,4,5,22-Jul-23,Project Management,Internal,Passed,Jonesport,David Harris,1,203.04
Enrico,Langton,29-Jan-19,8-Jul-22,Production Technician I,Jeffrey Thompson,TNS,Active,Contract,Zone A,Part-Time,Involuntary,Law difference five away.,Production       ,Field Operations,25-08-1955,MA,Technician,Male,2048,Other,Married,Fully Meets,3,1736,21-04-2023,3,1,3,9-Mar-23,Leadership Development,Internal,Incomplete,West Sarahborough,Michael Lopez,4,717.29
Colleen,Zima,27-Oct-18,,Production Technician I,Jacqueline Jones,TNS,Active,Contract,Zone C,Full-Time,Unk,,Production       ,General - Eng,26-02-1983,MA,Engineer,Female,1730,Hispanic,Widowed,Fully Meets,3,1737,30-03-2023,4,5,2,17-Oct-22,Leadership Development,External,Incomplete,Atkinsonbury,William Collins,5,719
Phil,Close,30-May-23,5-Jul-23,Production Technician II,Tami Fuentes,CCDR,Voluntarily Terminated,Contract,Zone A,Part-Time,Involuntary,Rich together bad his agent blue.,Production       ,General - Eng,17-11-1983,MA,Coordinator,Male,2169,White,Single,Fully Meets,3,1738,13-11-2022,4,1,2,9-Jan-23,Customer Service,External,Incomplete,East Sharon,Sean Mckee,5,802.66
Hang T,Wolk,15-Jul-19,1-May-23,Production Technician II,Michael Farmer,CCDR,Active,Contract,Zone B,Full-Time,Involuntary,Large relate work treatment Mrs.,Production       ,Aerial,11/1/1982,MA,Laborer,Female,2302,Hispanic,Married,Fully Meets,3,1739,10/10/2022,2,5,1,4-Jul-23,Communication Skills,Internal,Incomplete,East Julie,Lisa Hahn,1,388.07
Lei-Ming,Nguyen,17-Mar-20,2-Aug-21,Production Technician I,Madeline Baker,NEL,Active,Contract,Zone B,Part-Time,Voluntary,This win treat they kid simple.,Production       ,General - Con,3/4/1963,MA,Laborer,Female,2132,Other,Married,Fully Meets,3,1740,20-09-2022,5,4,4,18-Feb-23,Project Management,Internal,Completed,South Donna,Nicole Sanders,2,350.26
Denisa S,Dobrin,16-Sep-22,,Production Technician I,Katherine Costa,MSC,Active,Contract,Zone A,Temporary,Unk,,Production       ,General - Eng,11/1/1981,MA,Drafter,Female,2125,Asian,Single,Fully Meets,3,1741,22-08-2022,3,4,2,8-Nov-22,Leadership Development,External,Completed,Chasefurt,Mrs. Sandra Howard DDS,5,625.76
Maryellen,Jackson,4-Jan-21,,Production Technician I,Rebecca Bird,TNS,Active,Part-Time,Zone B,Part-Time,Unk,,Production       ,Wireline Construction,2/3/1971,MA,Laborer,Female,2081,Asian,Divorced,Fully Meets,3,1742,20-05-2023,5,5,3,19-Apr-23,Communication Skills,External,Incomplete,Port Robert,Kristen Brown,1,206.72
David,Gordon,30-Nov-18,,Production Technician I,Sarah Mcdonald,SVG,Active,Full-Time,Zone C,Temporary,Unk,,Production       ,Splicing,3/6/2001,MA,Supervisor,Male,2169,Black,Single,Fully Meets,3,1743,20-04-2023,4,1,5,13-Jul-23,Project Management,External,Passed,New David,Debra Barton,4,954.37
Mei,Trang,24-Jul-22,,Production Technician I,Teresa Murray,PL,Active,Full-Time,Zone C,Full-Time,Unk,,Production       ,Field Operations,5/5/1947,MA,Driller,Female,2021,Hispanic,Married,Fully Meets,3,1744,2/5/2023,2,1,4,24-Dec-22,Communication Skills,Internal,Failed,Prattview,Scott Kline,4,728.77
Lindsey,Langford,5-Feb-22,,Production Technician II,Erin Castro,EW,Active,Contract,Zone C,Part-Time,Unk,,Production       ,Aerial,26-09-1989,MA,Foreman,Female,2090,Other,Widowed,Fully Meets,3,1745,14-11-2022,4,4,3,5-Sep-22,Leadership Development,External,Completed,Simsberg,Mrs. Stephanie Miller,1,996.01
Brad,Pitt,23-Apr-20,7-Jan-22,Production Technician I,Joshua Gonzalez,WBL,Active,Full-Time,Zone A,Full-Time,Voluntary,Them security hit decide.,Production       ,General - Sga,6/4/1962,MA,Vp,Male,2451,Hispanic,Widowed,Fully Meets,3,1746,20-06-2023,4,3,4,18-Nov-22,Communication Skills,Internal,Incomplete,Jonesberg,Lauren Andrews,2,787.19
Susan,Good,23-Jun-23,10-Jul-23,Production Technician II,Mary Blackwell,PL,Leave of Absence,Full-Time,Zone A,Temporary,Resignation,Too former relationship risk.,Production       ,Field Operations,2/8/1992,MA,Splicer,Female,1886,White,Divorced,Fully Meets,3,1747,28-03-2023,1,4,4,2-Mar-23,Project Management,External,Passed,Ryanshire,Kevin Snow,3,853.43
Ashley,Rose,13-Jan-22,5-Jul-22,Production Technician I,Benjamin Hamilton,PYZ,Active,Part-Time,Zone A,Temporary,Retirement,Listen cover book.,Production       ,Underground,9/1/1973,MA,Laborer,Female,1886,White,Widowed,Fully Meets,3,1748,12/2/2023,3,2,4,26-Mar-23,Leadership Development,External,Failed,Williamsmouth,Andrea Ball,5,433.03
Kaeden,Gonzales,26-Nov-20,,Production Technician I,Kimberly Wilcox,PYZ,Active,Contract,Zone B,Temporary,Unk,,Production       ,Field Operations,3/2/1964,MA,Project Manager,Female,70227,Hispanic,Divorced,Fully Meets,3,1749,5/8/2022,1,4,5,21-Jul-23,Leadership Development,Internal,Incomplete,Burtonton,Joseph Potter,3,148.69
Alissa,Frey,7-Dec-18,,Production Technician I,Chase Swanson,WBL,Active,Full-Time,Zone C,Full-Time,Unk,,Production       ,Field Operations,11/4/1977,MA,Tower Hand,Female,3204,Other,Widowed,Fully Meets,3,1750,13-11-2022,1,2,5,20-Aug-22,Project Management,Internal,Incomplete,New Arthur,Maria Gonzalez,1,523.44
Presley,Steele,19-Apr-23,,Production Technician I,Evan Durham,NEL,Active,Contract,Zone C,Temporary,Unk,,Production       ,General - Con,29-05-2001,MA,Lineman,Female,81228,Hispanic,Widowed,Fully Meets,3,1751,24-08-2022,4,4,1,10-Dec-22,Project Management,External,Incomplete,New Dennisshire,Jose Guzman,5,719.54
Boston,Avila,5-Mar-22,8-Apr-22,Production Technician I,Mario Johnson MD,PL,Active,Part-Time,Zone B,Temporary,Resignation,Person identify music conference.,Production       ,General - Con,4/11/1982,MA,Mechanic,Male,56894,White,Single,Fully Meets,3,1752,11/12/2022,2,1,2,9-Oct-22,Leadership Development,External,Incomplete,Harrisonshire,John Ramirez,3,560.55
Rodolfo,Michael,20-Jun-19,14-Oct-19,Production Technician I,Kimberly Williams,BPC,Active,Contract,Zone C,Full-Time,Resignation,Available no skill newspaper herself.,Production       ,Field Operations,7/3/1943,MA,Assistant,Male,42759,Black,Divorced,Fully Meets,3,1753,30-05-2023,5,3,3,18-Mar-23,Customer Service,Internal,Completed,Port Steven,Brett Ortiz,1,711.71
Felix,Fritz,13-Sep-22,,Production Technician I,Alejandro Davies,CCDR,Active,Part-Time,Zone C,Temporary,Unk,,Production       ,Project Management - Con,18-11-1991,MA,Manager,Male,61961,Asian,Single,Fully Meets,3,1754,29-12-2022,5,5,1,30-Jan-23,Project Management,External,Failed,Franciscohaven,John Jones,1,980.65
Amira,Mcmillan,2-Jan-19,,Production Technician I,Duane Anderson,SVG,Active,Part-Time,Zone B,Full-Time,Unk,,Production       ,General - Con,5/10/1994,MA,Foreman,Male,45449,Other,Widowed,Fully Meets,3,1755,17-10-2022,4,1,1,22-Nov-22,Communication Skills,External,Incomplete,Curryberg,Melissa Whitehead,2,367.76
Annabelle,Graham,6-Jun-22,,Production Technician I,David Cooper,EW,Active,Part-Time,Zone A,Part-Time,Unk,,Production       ,Splicing,25-03-1961,MA,Operator,Male,32636,Black,Widowed,Fully Meets,3,1756,27-06-2023,2,4,4,22-Apr-23,Communication Skills,Internal,Failed,Laurieville,Jared Spence,1,849.36
Leia,Mccann,9-Jan-20,,Production Technician I,Rebecca Conway,MSC,Active,Full-Time,Zone A,Temporary,Unk,,Production       ,Finance & Accounting,1/2/1985,MA,Director,Female,74346,White,Widowed,Fully Meets,3,1757,18-08-2022,5,4,5,31-Dec-22,Technical Skills,Internal,Incomplete,Port Brittanyton,Barbara Cochran,5,305.05
Henry,Gray,3-Jan-19,,Production Technician I,Melissa Chavez,TNS,Active,Part-Time,Zone B,Part-Time,Unk,,Production       ,Splicing,22-05-1958,MA,Administrator,Male,61791,White,Single,Fully Meets,3,1758,18-08-2022,5,3,5,14-May-23,Customer Service,Internal,Completed,North Patricia,Robert Campbell,5,296.24
Jose,Houston,23-Jan-21,23-Oct-22,Production Technician I,Patricia Newman,PYZ,Active,Contract,Zone B,Part-Time,Retirement,Benefit turn that with well may former if.,Production       ,General - Con,11/12/1947,MA,Coordinator,Male,40003,White,Married,Fully Meets,3,1759,16-09-2022,5,2,4,21-Oct-22,Project Management,Internal,Completed,Clarkview,Rachel Phillips,4,220.06
Janessa,Mcconnell,8-Feb-20,4-May-20,Production Technician I,Sally Meadows,WBL,Active,Part-Time,Zone C,Part-Time,Voluntary,Simply game everyone despite line.,Production       ,General - Con,20-08-1993,MA,Foreman,Male,93320,Hispanic,Single,Fully Meets,3,1760,16-03-2023,5,3,2,20-Jan-23,Technical Skills,External,Passed,Brownchester,Glenn Jimenez,3,378.51
Samson,Ellis,29-Oct-21,2-Aug-22,Production Technician I,Sara Golden,NEL,Voluntarily Terminated,Contract,Zone C,Temporary,Voluntary,Ahead onto current situation speech while.,Production       ,Field Operations,16-05-1961,MA,Technician,Female,97689,Other,Married,Fully Meets,3,1761,20-02-2023,3,2,1,7-Nov-22,Technical Skills,External,Completed,New Eric,Denise Guzman,4,905.6
Lauren,Kent,4-Jul-23,12-Jul-23,Production Technician I,Roger Reed,PL,Voluntarily Terminated,Contract,Zone B,Part-Time,Voluntary,Myself produce sit outside after.,Production       ,Wireless,19-02-2001,MA,Foreman,Female,37569,White,Divorced,Fully Meets,3,1762,19-03-2023,3,3,5,2-Sep-22,Customer Service,External,Incomplete,South Raymondchester,Christopher Griffin,3,669.57
Mckenzie,Mack,6-Apr-23,,Production Technician I,Debra Boyer,BPC,Active,Part-Time,Zone B,Full-Time,Unk,,Production       ,Engineers,13-01-1950,MA,Model Assistant,Female,11574,Asian,Widowed,Fully Meets,3,1763,18-08-2022,4,2,4,2-Mar-23,Leadership Development,External,Completed,Joneston,Amanda Hughes,2,723.9
Donavan,Chavez,17-Jan-23,,Production Technician I,Robert Rios,CCDR,Active,Full-Time,Zone A,Temporary,Unk,,Production       ,Engineers,2/1/1949,MA,Engineer,Female,18917,Black,Married,Fully Meets,3,1764,13-03-2023,2,3,5,7-May-23,Communication Skills,Internal,Passed,Port Joshua,Anna Mitchell,1,834.44
Haiden,Coffey,17-Oct-19,,Production Technician II,Kyle Bell,BPC,Active,Contract,Zone C,Part-Time,Unk,,Production       ,Project Management - Con,7/9/1991,MA,Field Project Manager,Female,5819,Asian,Divorced,Fully Meets,3,1765,24-12-2022,5,5,2,4-Aug-23,Leadership Development,External,Incomplete,Williamsmouth,William Johnson,1,393.88
Kasey,Alexander,22-Jun-19,1-May-21,Production Technician I,Michelle Herrera,PYZ,Active,Contract,Zone B,Temporary,Resignation,Reflect important account keep eye accept.,Production       ,Field Operations,15-07-1957,MA,Laborer,Female,75004,Asian,Married,Fully Meets,3,1766,23-05-2023,1,5,2,7-Jul-23,Customer Service,External,Incomplete,Greenestad,Patrick Gray,3,637.61
Kenneth,Peters,10-Feb-23,1-May-23,Production Technician I,Renee Beasley,WBL,Active,Contract,Zone A,Full-Time,Retirement,Maintain material discover discover.,Production       ,General - Con,31-12-1995,MA,Supervisor,Female,39000,White,Divorced,Fully Meets,3,1767,9/8/2022,4,1,1,25-Oct-22,Project Management,External,Passed,Riverastad,Scott Everett,3,902.11
Lucia,Hudson,13-Oct-22,2-May-23,Production Technician I,Scott Graves,NEL,Active,Contract,Zone C,Temporary,Voluntary,Ask station everything race feeling by although.,Production       ,Aerial,26-02-1977,MA,Lineman,Female,73245,Black,Married,Fully Meets,3,1768,11/2/2023,3,3,3,30-Sep-22,Leadership Development,External,Passed,Lake Tyler,Amanda Nelson,1,999.79
Rashad,Randall,7-Mar-23,27-Apr-23,Production Technician I,Bryan Harvey,PL,Active,Contract,Zone B,Temporary,Resignation,State voice performance crime.,Production       ,Engineers,29-04-1974,MA,Technician,Male,83360,Hispanic,Widowed,Fully Meets,3,1769,10/2/2023,4,3,5,27-Mar-23,Leadership Development,Internal,Passed,New Jamesville,Stephanie Good DVM,1,976.58
